('(0.0546, -0.412, -1.6646, 264.79990665535701, 0)', 22.179900884628296)
('(0.0347, -0.4246, -1.6478, 258.51696902085956, 0)', 22.304993867874146)
('(0.0374, -0.4385, -1.6478, 276.05858296413578, 0)', 22.430384874343872)
('(0.0404, -0.4436, -1.6561, 270.0, 0)', 22.5433669090271)
('(0.0428, -0.4391, -1.6395, 270.0, 0)', 22.670871019363403)
('(0.0455, -0.4447, -1.6395, 334.82086667373432, 0)', 22.79026699066162)
('(0.0488, -0.4408, -1.6561, 52.45705514023539, 0)', 22.90839385986328)
('(0.049, -0.4402, -1.6646, 126.0572460515902, 0)', 23.03184986114502)
('(0.0348, -0.4436, -1.6561, 134.66494078139146, 0)', 23.151041984558105)
('(0.0458, -0.4357, -1.6478, 205.73070560153127, 0)', 23.272884845733643)
('(0.0288, -0.4259, -1.6313, 177.92996934695887, 0)', 23.401948928833008)
('(0.0345, -0.4308, -1.6395, 321.11550356628533, 0)', 23.522357940673828)
('(0.0233, -0.4231, -1.6313, 329.98543581032197, 0)', 23.64273691177368)
('(0.0483, -0.4419, -1.6395, 335.12238880547147, 0)', 23.764235019683838)
('(0.029, -0.428, -1.6395, 16.76255446183281, 0)', 23.885167837142944)
('(0.0508, -0.4369, -1.6313, 178.6028189727036, 0)', 24.006263971328735)
('(0.051, -0.4391, -1.6395, 63.294518271984721, 0)', 24.127338886260986)
('(0.0455, -0.4419, -1.6395, 106.4902751424535, 0)', 24.2537260055542)
('(0.0455, -0.4391, -1.6395, 270.0, 0)', 24.375242948532104)
('(0.0508, -0.4369, -1.6313, 90.0, 0)', 24.495666980743408)
('(0.051, -0.4419, -1.6395, 0, 0)', 24.615036010742188)
('(0.051, -0.4419, -1.6395, 0, 0)', 24.73542594909668)
('(0.0455, -0.4419, -1.6395, 90.0, 0)', 24.85590696334839)
('(0.0455, -0.4419, -1.6395, 0, 0)', 24.971341848373413)
('(0.0455, -0.4419, -1.6395, 212.87626175221067, 0)', 25.089650869369507)
('(0.0455, -0.4419, -1.6395, 270.0, 0)', 25.214618921279907)
('(0.0455, -0.4419, -1.6395, 270.0, 0)', 25.341585874557495)
('(0.0428, -0.4391, -1.6395, 0, 0)', 25.45892095565796)
('(0.0455, -0.4419, -1.6395, 270.0, 0)', 25.585002899169922)
('(0.0483, -0.4419, -1.6395, 0, 0)', 25.70594596862793)
